clientMac,group,transition,uniquePlaces,totalTime
d49e,active (others),3,3,2355
9527,active (others),4,2,3587
e8d1,active (others),1,1,3236
0686,inactive (dorm),1,1,3286
90ac,active (others),2,1,3573
4a39,inactive (dorm),1,1,3454
0878,active (others),1,1,3314
11d3,active (others),1,1,3147
d213,active (others),1,1,1839
8002,active (others),1,1,1056
6216,inactive (dorm),1,1,783
baad,in-the-wild (others),2,1,3554
b203,active (others),1,1,3577
63d4,active (others),1,1,178
45d7,active (others),5,3,2166
c3cf,in-the-wild (others),5,4,2761
242e,active (others),2,2,3416
da67,active (dorm),3,2,3433
0773,active (others),1,1,3414
02e9,inactive (dorm),1,1,3462
3118,active (dorm),3,2,3516
5a83,active (others),1,1,3558
286d,active (others),1,1,1165
9800,active (others),1,1,1499
59e0,active (others),4,4,3526
2d67,active (others),2,2,280
fe56,active (others),2,1,3536
c731,active (others),1,1,3581
d85f,active (others),1,1,3577
c340,active (others),1,1,3470
358a,active (others),1,1,3514
d116,in-the-wild (others),8,7,3591
ba73,in-the-wild (others),2,2,3170
7549,active (dorm),5,5,979
a00a,active (others),3,2,2028
93e0,active (others),1,1,3579
3926,active (others),1,1,3301
9fc8,active (others),3,3,1330
4a31,in-the-wild (others),1,1,887
94b4,active (others),1,1,3579
3915,inactive (dorm),1,1,1636
f0ea,active (others),2,2,3387
749d,active (others),3,3,611
908c,active (others),1,1,260
ab34,active (others),2,2,3512
1408,inactive (dorm),1,1,1681
392f,active (others),1,1,3565
6f02,active (others),1,1,3488
8e5b,active (others),7,6,2877
3249,in-the-wild (others),5,4,3522
75c0,active (others),1,1,2879
ccf3,inactive (dorm),1,1,417
2826,active (others),1,1,3510
50ed,active (others),1,1,427
6883,active (others),1,1,969
e8d6,inactive (dorm),1,1,3252
9709,active (others),1,1,3394
ee81,active (others),1,1,2620
2c74,active (others),1,1,2556
c07a,active (others),1,1,3153
cca5,active (others),1,1,2
26c9,active (others),3,3,3530
926e,inactive (dorm),1,1,3016
9629,in-the-wild (dorm),2,2,2494
535e,active (others),1,1,2426
0f46,active (others),4,2,3452
7b17,active (others),1,1,3546
8607,in-the-wild (others),1,1,2665
0dd1,active (others),2,2,2596
d64f,active (others),1,1,3579
cba5,inactive (dorm),1,1,2114
29e4,active (others),1,1,2081
d89c,active (others),4,2,3546
1082,active (others),2,2,1874
5ecb,inactive (dorm),1,1,2934
487a,active (others),3,2,2552
b5e6,active (others),1,1,3532
ca09,active (dorm),7,3,3506
1240,active (others),1,1,515
63a7,active (others),3,1,2919
aff1,active (others),1,1,3552
3ad8,in-the-wild (others),2,2,3394
8207,in-the-wild (others),1,1,842
7c07,active (others),1,1,3336
c98f,inactive (dorm),1,1,3200
55ed,active (others),1,1,3147
d863,active (others),13,2,3563
6a4e,active (others),1,1,3195
c30d,active (others),4,4,3496
1e2d,active (others),1,1,3595
b429,active (others),2,1,3478
783e,in-the-wild (others),2,1,3496
edc0,active (others),1,1,3512
83a9,in-the-wild (others),1,1,3506
3dd1,inactive (dorm),1,1,3482
3911,in-the-wild (others),2,1,1876
fe9a,inactive (dorm),1,1,189
6048,in-the-wild (others),5,4,2143
07fc,inactive (dorm),1,1,1488
c537,active (others),1,1,1934
5ea0,active (others),1,1,3408
ba1b,active (others),1,1,3565
9ac5,in-the-wild (others),4,3,3585
50ef,active (others),3,3,244
a39d,active (others),1,1,3587
4c41,active (others),1,1,1800
8a95,active (others),2,2,3558
fb9c,active (others),1,1,1119
9ec7,active (others),1,1,3585
5eca,active (others),1,1,3558
0e26,active (others),1,1,3554
7ea9,in-the-wild (others),2,2,2946
566d,active (others),1,1,3577
1dec,active (others),1,1,3234
8839,active (others),3,3,3429
1ca7,in-the-wild (others),9,8,3454
4ff2,active (others),2,2,3220
90d9,active (others),1,1,3329
6267,active (others),1,1,3563
4672,active (others),1,1,3178
3395,inactive (dorm),1,1,2295
e6f8,in-the-wild (others),1,1,2745
14d3,active (others),1,1,3575
fcba,active (others),1,1,3546
38d2,in-the-wild (others),1,1,714
77fb,active (others),1,1,3498
b236,active (others),4,3,2293
8578,active (dorm),6,4,3597
898e,active (others),7,5,3595
bb7b,active (others),1,1,3585
c2af,active (others),8,8,2804
e979,inactive (dorm),1,1,3585
ea4a,active (others),2,2,3381
5987,active (others),1,1,548
962e,active (others),1,1,2412
d3e7,in-the-wild (others),1,1,1995
caea,active (others),2,1,3552
1362,active (others),6,6,3468
9ac1,active (others),1,1,3440
345d,in-the-wild (others),1,1,381
bd35,active (others),1,1,3575
81d6,active (others),1,1,3552
92f9,inactive (dorm),1,1,3416
7c2b,active (others),3,1,3448
cbfa,active (others),8,4,3482
50a8,active (others),2,1,3110
a0e5,active (others),2,1,3540
fd44,inactive (dorm),1,1,2829
41f0,inactive (dorm),1,1,3571
d664,active (others),2,2,3585
558a,active (others),1,1,3112
5dc1,active (others),1,1,3435
4a0a,active (others),2,2,3238
108d,inactive (dorm),6,1,3065
57d9,active (others),1,1,2265
ef0c,active (others),3,1,3579
4409,active (others),3,3,3512
a834,active (others),2,2,3028
4deb,active (others),2,2,3575
048d,active (others),4,3,3571
c2db,active (others),3,2,1780
cb91,inactive (dorm),1,1,603
aa0b,active (others),1,1,1981
91ef,active (others),1,1,3301
8aaa,inactive (dorm),1,1,3416
1d05,active (others),1,1,3583
96db,active (dorm),2,2,3286
1cc6,inactive (dorm),1,1,3178
8bfc,in-the-wild (others),3,1,3252
5f5a,active (others),5,5,3593
50d9,in-the-wild (others),5,1,3472
175c,active (others),4,3,3488
195d,active (others),1,1,2314
9f4d,active (others),1,1,1924
5c54,active (others),1,1,3508
c567,in-the-wild (others),4,4,3369
a4da,active (others),1,1,533
9028,inactive (dorm),1,1,3334
1ede,active (others),2,2,3595
427b,active (others),5,2,3554
2188,active (others),1,1,2983
5420,active (others),1,1,1437
3181,active (others),1,1,3252
9a64,inactive (dorm),1,1,2967
ae85,in-the-wild (others),3,3,1821
569b,active (others),1,1,704
f01e,active (others),1,1,3575
9e39,inactive (dorm),1,1,3053
217f,in-the-wild (others),1,1,3433
86f4,active (others),1,1,454
626f,active (others),1,1,3540
9085,active (others),1,1,215
c8cb,active (others),3,3,3176
0d4d,active (others),1,1,488
0fb7,active (others),2,2,3488
5905,active (others),1,1,3575
c15d,active (others),1,1,3554
72bb,active (others),1,1,2841
5b40,inactive (dorm),1,1,2804
f6ab,active (others),1,1,3147
e13b,in-the-wild (others),1,1,24
8883,active (others),1,1,3518
d6be,active (others),1,1,3504
9c5b,active (others),1,1,3534
f449,inactive (dorm),1,1,3563
3a52,active (others),1,1,135
4fdb,active (others),4,3,2831
2928,in-the-wild (others),1,1,3595
cba8,active (others),5,4,3288
e418,inactive (dorm),1,1,3342
9422,in-the-wild (others),1,1,2202
4377,active (others),1,1,3534
beb6,inactive (dorm),1,1,222
d325,active (others),1,1,877
780e,in-the-wild (others),1,1,53
2b7a,inactive (dorm),1,1,2349
e125,inactive (dorm),1,1,1956
b45c,inactive (dorm),1,1,3542
0014,active (dorm),4,4,3597
d8cd,inactive (dorm),1,1,1250
0533,active (dorm),2,2,951
997d,in-the-wild (others),3,3,3583
45f6,active (others),1,1,1849
534e,active (others),1,1,3024
8560,active (others),4,1,2394
aedf,active (others),5,1,3579
cedd,active (others),1,1,3520
64ee,in-the-wild (others),2,2,1829
d8fb,active (others),1,1,3429
99b9,active (others),1,1,2622
f5e0,active (others),2,2,1993
15e6,inactive (dorm),1,1,3492
d775,active (others),1,1,3544
9f65,active (others),7,7,3540
8726,in-the-wild (others),6,6,2613
a034,inactive (dorm),1,1,1297
2a49,inactive (dorm),1,1,3350
7043,active (others),1,1,391
e05f,inactive (dorm),3,1,3425
910d,in-the-wild (others),1,1,2983
4c0b,in-the-wild (others),6,5,3135
d247,active (others),1,1,3522
0da9,active (others),1,1,425
d3d3,active (others),2,2,3365
b8ed,active (others),1,1,1211
df2c,active (others),1,1,3352
f57f,active (others),3,3,3125
0ca8,active (others),5,3,3589
a89a,active (others),2,1,3193
4845,active (others),1,1,2708
4de8,active (others),3,1,2798
8734,in-the-wild (others),4,4,3593
7f4a,inactive (dorm),1,1,3577
e91c,active (others),1,1,3348
18fa,active (others),1,1,2600
2903,active (others),1,1,3538
15f1,active (others),2,1,3016
fec7,inactive (dorm),1,1,973
48a1,inactive (dorm),1,1,3094
1a11,active (others),5,4,1796
751e,in-the-wild (others),1,1,3067
e8c9,active (others),5,4,3462
f2e6,inactive (dorm),3,1,3571
36ee,active (others),1,1,3556
2384,in-the-wild (others),2,2,365
af2b,inactive (dorm),1,1,3565
d431,active (others),1,1,3575
0aca,inactive (dorm),1,1,3216
076c,in-the-wild (others),1,1,166
dd2c,in-the-wild (others),2,2,3444
1bb9,active (others),1,1,1995
bcbb,active (others),2,2,1203
bfe3,in-the-wild (others),5,5,1922
8ab7,active (others),1,1,3222
df0a,active (others),1,1,3508
e03e,active (others),1,1,3026
846c,active (others),1,1,3573
425e,active (others),1,1,2909
63ee,inactive (dorm),1,1,3412
6312,active (dorm),3,3,1720
b571,active (others),1,1,3416
1ebe,active (others),2,1,3583
e88d,active (others),1,1,2100
7479,active (others),1,1,3266
6b6f,active (others),1,1,3200
3df7,active (others),2,2,1135
2a29,inactive (dorm),1,1,3472
aa7a,active (others),1,1,3396
d9e3,in-the-wild (others),4,4,3581
a685,active (others),1,1,3232
f7f4,active (dorm),4,3,3498
e820,active (others),6,3,1772
06c3,active (others),1,1,2756
b6ee,in-the-wild (others),1,1,94
b145,active (others),1,1,3394
3f2f,active (others),1,1,3591
2ed0,active (others),1,1,3496
6560,active (others),1,1,2139
a893,active (others),1,1,3534
347d,in-the-wild (others),1,1,351
c9d9,active (others),2,1,2434
1ccc,active (others),1,1,3290
1120,active (others),1,1,999
