name,parent,value
LT27,b1f8,935
S8,b1f8,248
I3,28e7,3440
E6,bab6,1125
PGP-BS,3905,3480
OHSSL-BS,3905,60
E4,0936,2067
E3,0936,1252
E2A,0936,207
RH-BS,47c0,3419
MUSM-BS,47c0,29
KVA,06f5,2265
YNCEC,3bff,3460
CRECTN,7fc5,773
UT-BS,7fc5,93
UHALL-BS,7fc5,353
YNCRC1,7fc5,105
S14,7fc5,131
CREATE,7fc5,102
YNCEC,7fc5,16
UTSRC,7fc5,143
S10CTN,7fc5,49
MD1,7fc5,683
OUHC-BS,7fc5,488
AS3,0a36,3558
S7,bc18,1641
UT-BS,70dd,75
ERC,70dd,1056
MUSM-BS,70dd,91
CREATE,70dd,117
GRN,70dd,68
PGP-BS,70dd,2168
KRH,76c8,2952
YNCRC2,ae1d,1060
ERC,bce0,1143
E4,ae50,3591
E1A,a762,3322
UTSRC,7fc1,922
KRT-BS,6d2b,2447
YNCRC2,bd7b,3571
ERC,43f5,3522
CELS,9384,2802
S16,1abd,3587
SDE4,1d67,3005
CLIB,3c76,1956
UTSRC,6096,3425
UTSRC,4b7a,1636
E3A,e761,2273
KVA,ac3b,2028
E6,03db,158
S9,848c,49
MD1,2635,2778
RC4,1011,3038
KV-BS,8b8e,2817
CLIB,137d,3229
AS6,137d,273
AS8-BS,137d,71
YNCRC3,b23b,3540
S17,2ffb,3522
RC4,63c7,1889
CELS,9f12,3595
E3,2c32,2976
E5,862b,55
UHALL-BS,862b,2821
YIH-BS,862b,86
AS8-BS,862b,92
IT,862b,70
E1,862b,125
OUHC-BS,862b,52
E4,862b,60
CPT,3b18,3504
KVG,1049,3318
MD4,33f0,3540
CLIB,47c4,2453
IT-BS,47c4,362
AS1,47c4,58
MD6,733a,133
S17-BS,733a,1969
MD1,37a8,2151
MD4,51d7,1316
YNCRC2,423e,3352
YNCRC1,423e,108
CNM,998c,1094
I4,f76a,1989
VENT,75f3,2533
I3,a3a1,3556
RVRG,0c5a,3024
YNCRC2,7db7,1352
UH,5389,3595
HSSML,59f5,3502
YNCRC1,92de,2877
VENT,0c82,3212
YNCRC1,d90a,3232
TCOMS,b5c8,2969
S13,0e47,3067
E3,8882,3573
OYIH-BS,1c3c,51
LT13-BS,1c3c,61
YIH-BS,1c3c,72
COM2-BS,1c3c,62
ONUSS-BS,1c3c,252
THALL,1c3c,949
IT-BS,1c3c,62
YIH,1c3c,61
ARTSCTN,1c3c,49
YNCRC1,82e0,3544
EA,f495,3583
YNCRC1,60ed,3232
ERC,3be9,3579
BIZ1,1572,3460
RVRG,faad,1611
ONUSS-BS,5c16,2316
S10,8c66,64
S5,8c66,26
S4,8c66,3220
S16CTN,8c66,115
LT27,8c66,121
UHALL-BS,16b7,65
UHC-BS,16b7,1173
S14,16b7,2096
YSTCM,e2ac,3067
UHALL-BS,59f5,134
UHC-BS,59f5,718
S5,4db9,96
EA,4cd7,3307
MD1,1de2,306
MD3,1de2,2571
LT8,1de2,558
CNM,6436,1821
MD6,c0c0,589
MD1,c0c0,3006
T-LAB,7b21,1784
E1,8fa9,369
EW1,8fa9,3218
KV-BS,2db6,1439
AS2,2db6,1413
HSSML,23d3,54
LT13-BS,23d3,2700
BIZ2,23d3,106
BIZ2-BS,23d3,209
AS5,f393,3558
YNCRC1,1498,3040
ERC,1498,341
S5,26fe,3450
GRN,ae70,2477
ERC,ae70,309
E4,2363,3260
SFAH,b131,3174
UH,e7c9,3460
LT27,ef30,661
UH,ef30,1961
MD1,b3ed,3540
UTSRC,053b,2166
S16,0301,2333
S10,0301,53
S10CTN,0301,548
YNCRC2,df0a,3468
YNCRC1,e952,3168
IT,79a5,3516
HSSML,16ea,3176
BIZ1,16ea,378
CREATE,1cf0,904
S12,4f12,2997
MUSM-BS,5af5,79
UT-BS,5af5,62
UHALL-BS,5af5,3145
OUHC-BS,5af5,69
MD6,4577,3524
ERC,26f3,2263
S15,8ca0,3567
I3,30d4,2488
BIZ2-BS,30d4,844
UTSRC,bc82,3565
VENT,e3e7,3242
S8,7c8c,3189
MD1,7ccb,3587
S17,843e,1901
USC,bf8f,57
OUHC-BS,bf8f,126
PGP-BS,bf8f,1851
S17-BS,bf8f,243
SFAH,163d,3295
E3A,60cf,1843
T-LAB,30ae,3100
BIZ1,dd2d,3510
RC4,5cbe,75
UTSRC,5cbe,1849
ERC,5cbe,357
UHC-BS,6207,3536
CLIB,d4b8,1843
AS1,d4b8,209
AS8-BS,d4b8,707
AS8,d4b8,453
YNCRC3,4ab4,3160
E5,c352,168
E3,c352,1967
E1A,c352,53
EA,c352,744
E2,c352,36
E4,c352,617
AS2,400c,3440
CRECTN,a7ca,162
CREATE,a7ca,244
GRN,a7ca,2881
UTSRC,a7ca,265
S16,eac0,38
VENT,a01f,59
LT13-BS,9779,148
ONUSS-BS,9779,646
SH,9779,329
S16,2c99,3589
UT-BS,64f7,331
UTSRC,64f7,1519
LT4,64f7,1708
AS3,10fe,3406
UTSRC,821a,1177
CELS,b3af,3540
IT-BS,29b7,1651
UH,29b7,1926
CREATE,953a,1099
GRN,953a,1096
GRS,953a,131
E1A,b826,3121
BIZ1,a702,3488
E3A,b3f4,3563
UTSRC,0c57,2702
ERC,0e65,3536
S5,a74b,92
YNCRC3,3128,3071
MD6,f299,2934
E3,af77,3476
